LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01004286,0.631,2,0.03,Positive,4.65,27
E01004287,0.471,1,,Negative,5.0,1
E01004291,0.556,4,0.013,Neutral,4.4,156
E01004293,0.674,13,0.049,Positive,4.585,576136
E01004300,0.622,1,,Positive,4.1,18
E01004303,0.675,2,0.024,Positive,4.45,4683
E01004306,0.674,7,0.085,Very Positive,4.457,1693
E01004307,0.68,14,0.031,Positive,4.443,157244
E01004309,0.63,2,0.017,Positive,4.3,5098
E01004310,0.606,4,0.002,Positive,2.5,836
E01004317,0.646,9,0.085,Positive,4.3,5284
E01004474,0.655,4,0.05,Positive,3.55,156
E01004476,0.704,4,0.093,Positive,4.55,338
E01004478,0.544,1,,Neutral,4.0,7
E01004481,0.559,2,0.008,Neutral,4.2,148
E01004483,0.574,1,,Neutral,5.0,2
E01004484,0.608,2,0.007,Positive,4.5,6472
E01004486,0.681,1,,Positive,4.5,39
E01004487,0.507,2,0.004,Neutral,5.0,6
E01004492,0.592,2,0.003,Neutral,4.3,540
E01004496,0.545,1,,Neutral,4.5,22
E01004497,0.664,1,,Positive,4.4,121
E01004507,0.663,1,,Positive,5.0,2
E01004508,0.493,1,,Negative,2.4,7
E01004509,0.55,15,0.256,Positive,4.32,690
E01004510,0.535,9,0.234,Positive,4.867,73
E01004511,0.614,1,,Positive,4.7,34
E01004512,0.632,1,,Positive,4.5,66
E01004513,0.55,3,0.161,Negative,4.067,61
E01004514,0.499,5,0.287,Neutral,4.4,67
E01004534,0.552,1,,Neutral,3.8,10
E01004535,0.579,1,,Neutral,4.0,347
E01004536,0.58,1,,Neutral,4.3,118
E01004537,0.6,3,0.111,Neutral,4.433,46
E01004540,0.52,2,0.082,Negative,4.5,99
E01004545,0.512,2,0.001,Neutral,4.1,98
E01004551,0.587,9,0.232,Positive,4.033,2561
E01004553,0.646,5,0.136,Neutral,4.44,105
E01004554,0.451,3,0.008,Negative,4.8,12
E01004557,0.543,1,,Neutral,4.4,18
E01004558,0.737,3,0.025,Very Positive,4.833,3503
E01004560,0.624,18,0.094,Neutral,4.456,96810
E01004562,0.59,4,0.182,Negative,4.55,933
E01004572,0.504,3,0.009,Neutral,4.367,13
E01004573,0.59,12,0.088,Positive,4.725,125
E01004580,0.667,2,0.02,Positive,3.9,74
E01004581,0.396,1,,Very Negative,3.0,2
E01004586,0.679,1,,Positive,4.4,37
E01004588,0.223,2,0.315,Negative,4.25,3
E01004594,0.566,3,0.124,Negative,4.367,252
E01004598,0.635,1,,Positive,4.4,55
E01004600,0.672,7,0.096,Positive,4.257,21398
E01004601,0.599,2,0.011,Neutral,4.3,1938
E01004604,0.586,1,,Neutral,4.3,12
E01004605,0.557,1,,Neutral,4.4,431
E01004609,0.601,3,0.077,Neutral,3.867,172
E01004610,0.688,3,0.009,Positive,4.2,78
E01004620,0.382,2,0.54,Very Negative,5.0,5
E01004621,0.521,4,0.186,Negative,4.6,181
E01004622,0.678,2,0.13,Neutral,4.65,58
E01004624,0.601,3,0.005,Positive,4.2,75
E01004625,0.556,3,0.018,Neutral,4.7,246
E01004627,0.619,3,0.232,Very Positive,4.567,209
E01004631,0.681,2,0.005,Positive,4.8,108
E01004633,0.553,2,0.004,Neutral,4.5,16
E01004649,0.591,4,0.013,Neutral,3.0,576
E01004652,0.608,1,,Positive,4.3,93
E01004653,0.765,1,,Very Positive,4.7,47
E01004657,0.527,4,0.021,Neutral,3.1,350
E01004659,0.247,2,0.0,Very Negative,1.0,2
E01004660,0.578,6,0.073,Neutral,4.217,78500
E01004661,0.735,2,0.002,Very Positive,4.6,908
E01004662,0.565,2,0.014,Neutral,4.65,8
E01004666,0.613,7,0.003,Positive,3.4,6888
E01004680,0.699,4,0.057,Positive,4.325,207
E01004681,0.819,1,,Very Positive,4.9,15
E01004682,0.591,2,0.009,Neutral,4.05,140
E01004686,0.46,1,,Negative,4.3,91
E01004688,0.593,15,0.196,Very Positive,4.633,169067
E01004689,0.629,28,0.058,Positive,4.15,437911
E01004690,0.591,4,0.096,Positive,4.5,1731
E01004691,0.748,6,0.117,Very Positive,3.483,772
E01004692,0.718,3,0.055,Positive,4.8,2394
E01004693,0.743,1,,Very Positive,4.7,78
E01004695,0.599,8,0.106,Negative,3.975,805
E01004700,0.624,2,0.086,Neutral,4.5,432
E01004702,0.466,3,0.022,Negative,5.0,9
E01004706,0.641,2,0.004,Positive,4.6,4496
E01004713,0.639,1,,Positive,3.3,41
E01004714,0.763,1,,Very Positive,4.8,8618
E01004715,0.505,8,0.215,Positive,4.425,229
E01004716,0.61,2,0.012,Positive,4.45,257
E01004717,0.773,6,0.016,Very Positive,4.767,3016
E01004727,0.636,19,0.075,Neutral,4.516,319032
E01004730,0.717,6,0.033,Very Positive,4.633,262731
E01004731,0.577,60,0.121,Neutral,4.412,477283
E01004732,0.638,3,0.108,Neutral,4.467,63
E01004733,0.58,50,0.106,Neutral,4.302,598354
E01004734,0.631,36,0.103,Very Positive,3.908,593109
E01004735,0.676,4,0.051,Positive,4.5,15000
E01004736,0.612,59,0.155,Positive,4.388,1585418
E01004737,0.766,1,,Very Positive,5.0,5
E01004741,0.571,2,0.013,Neutral,4.35,441
E01004743,0.424,2,0.149,Neutral,4.7,432
E01004744,0.516,3,0.102,Negative,4.167,127
E01004745,0.692,3,0.08,Very Positive,4.633,40356
E01004748,0.601,8,0.052,Neutral,4.612,52455
E01004749,0.645,2,0.156,Neutral,3.55,152
E01004750,0.568,23,0.036,Neutral,4.161,75906
E01004760,0.575,1,,Neutral,4.0,18
E01004761,0.595,23,0.049,Neutral,4.391,28854
E01004762,0.634,1,,Positive,4.7,109
E01004763,0.585,10,0.099,Neutral,4.61,7898
E01004765,0.657,15,0.052,Positive,3.767,6676
E01032579,0.602,1,,Positive,4.7,9
